index,Number_of_atom_types,Bandgap_LDA,Bandgap_HSE06,Atomization Energy,Lattice_parameter,Density,band,Formation_energy,cohesive_energy,cohesive_energy_per_atom,atomic_number_1,atomic_number_2,atomic_number_3,atomic_number_4,atomic_number_5,atomic_volume_1,atomic_volume_2,atomic_volume_3,atomic_volume_4,atomic_volume_5,covalent_radius_bragg_1,covalent_radius_bragg_2,covalent_radius_bragg_3,covalent_radius_bragg_4,covalent_radius_bragg_5,electron_affinity_1,electron_affinity_2,electron_affinity_3,electron_affinity_4,electron_affinity_5,en_pauling_1,en_pauling_2,en_pauling_3,en_pauling_4,en_pauling_5,group_id_1,group_id_2,group_id_3,group_id_4,group_id_5,ionenergies[1]_1,ionenergies[1]_2,ionenergies[1]_3,ionenergies[1]_4,ionenergies[1]_5,period_1,period_2,period_3,period_4,period_5
AlBO3,3,3.0439,4.9601,-8.01568562,3.64135679976897,2.43572945,3.117,67.188537,-36.87047,-7.3740939999999995,13.0,5.0,8.0,0.0,0.0,10.0,4.6,14.0,0.0,0.0,135.0,0.0,65.0,0.0,0.0,0.43283,0.279723,1.4611135,0.0,0.0,1.61,2.04,3.44,0.0,0.0,13.0,13.0,16.0,0.0,0.0,5.9857684,8.298019,13.618054,0.0,0.0,3.0,2.0,2.0,0.0,0.0
LaAlO3,3,3.5006,4.9377,-8.68704458,4.84903640160603,6.801954369,3.4989999999999997,-3.298601,-40.32600600000001,-8.0652012,57.0,13.0,8.0,0.0,0.0,22.5,10.0,14.0,0.0,0.0,0.0,135.0,65.0,0.0,0.0,0.47,0.43283,1.4611135,0.0,0.0,1.1,1.61,3.44,0.0,0.0,3.0,13.0,16.0,0.0,0.0,5.5769,5.9857684,13.618054,0.0,0.0,6.0,3.0,2.0,0.0,0.0
KSbO3,3,,0.7932,-6.10496138,3.93105895444059,5.687800465,0.285,-6.611006,-27.034362,-5.4068724,19.0,51.0,8.0,0.0,0.0,45.3,18.4,14.0,0.0,0.0,206.99999999999997,140.0,65.0,0.0,0.0,0.50147,1.046,1.4611135,0.0,0.0,0.82,2.05,3.44,0.0,0.0,1.0,15.0,16.0,0.0,0.0,4.34066354,8.608389,13.618054,0.0,0.0,4.0,5.0,2.0,0.0,0.0
HfBeO3,3,3.0272,4.6543,-8.702153424,4.61733875128239,8.67724094,2.887,-20.894053,-39.313145,-7.862629,72.0,4.0,8.0,0.0,0.0,13.6,5.0,14.0,0.0,0.0,0.0,114.99999999999999,65.0,0.0,0.0,0.013999999999999999,-2.4,1.4611135,0.0,0.0,1.3,1.57,3.44,0.0,0.0,4.0,2.0,16.0,0.0,0.0,6.82507,9.322699,13.618054,0.0,0.0,6.0,2.0,2.0,0.0,0.0
Hf2ON2,3,1.8516,3.0373,-10.16768146,4.27225743895443,8.094230133,2.242,-27.150909000000002,-49.678929000000004,-9.935785800000001,72.0,8.0,7.0,0.0,0.0,13.6,14.0,17.3,0.0,0.0,0.0,65.0,65.0,0.0,0.0,0.013999999999999999,1.4611135,-1.4,0.0,0.0,1.3,3.44,3.04,0.0,0.0,4.0,16.0,15.0,0.0,0.0,6.82507,13.618054,14.53413,0.0,0.0,6.0,2.0,2.0,0.0,0.0
GeTiO3,3,1.8913,2.9267,-8.051555122,3.8260150667029,4.785768462,1.909,-14.674364,-36.411311,-7.2822622,32.0,22.0,8.0,0.0,0.0,13.6,10.6,14.0,0.0,0.0,0.0,140.0,65.0,0.0,0.0,1.232712,0.079,1.4611135,0.0,0.0,2.01,1.54,3.44,0.0,0.0,14.0,4.0,16.0,0.0,0.0,7.899435,6.82812,13.618054,0.0,0.0,4.0,4.0,2.0,0.0,0.0
GeSnO3,3,1.1746,2.3173,-6.62243528,3.97033241721415,6.00384606,0.743,-11.634462,-29.419896,-5.883979200000001,32.0,50.0,8.0,0.0,0.0,13.6,16.3,14.0,0.0,0.0,0.0,140.0,65.0,0.0,0.0,1.232712,1.112067,1.4611135,0.0,0.0,2.01,1.96,3.44,0.0,0.0,14.0,14.0,16.0,0.0,0.0,7.899435,7.343917,13.618054,0.0,0.0,4.0,5.0,2.0,0.0,0.0
GePbO3,3,,0.1167,-6.107678358,3.78056956614904,6.999029221,0.10300000000000001,-15.310664000000001,-27.058753,-5.4117505999999995,32.0,82.0,8.0,0.0,0.0,13.6,18.3,14.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,1.232712,0.35674316,1.4611135,0.0,0.0,2.01,1.8,3.44,0.0,0.0,14.0,14.0,16.0,0.0,0.0,7.899435,7.4166796,13.618054,0.0,0.0,4.0,6.0,2.0,0.0,0.0
CsTaO3,3,2.4258,3.7004,-8.171520224,4.01944319055106,8.792342274,3.187,-7.7979161999999995,-35.61786,-7.123572,55.0,73.0,8.0,0.0,0.0,70.0,10.9,14.0,0.0,0.0,237.0,0.0,65.0,0.0,0.0,0.47162600000000005,0.322,1.4611135,0.0,0.0,0.79,1.5,3.44,0.0,0.0,1.0,5.0,16.0,0.0,0.0,3.893905548,7.54957,13.618054,0.0,0.0,6.0,6.0,2.0,0.0,0.0
CsMnN3,3,,0.052,-6.651084872,5.65928675643809,5.305547327,0.011000000000000001,-16.678936,-38.116384,-7.623276799999999,55.0,25.0,7.0,0.0,0.0,70.0,7.39,17.3,0.0,0.0,237.0,147.0,65.0,0.0,0.0,0.47162600000000005,0.0,-1.4,0.0,0.0,0.79,1.55,3.04,0.0,0.0,1.0,7.0,15.0,0.0,0.0,3.893905548,7.434018,14.53413,0.0,0.0,6.0,4.0,2.0,0.0,0.0
CsIrN3,3,,0.0052,-6.676046728,3.88157424123184,7.350366804,0.013000000000000001,-9.567432,-29.100426,-5.820085199999999,55.0,77.0,7.0,0.0,0.0,70.0,8.54,17.3,0.0,0.0,237.0,0.0,65.0,0.0,0.0,0.47162600000000005,1.5638,-1.4,0.0,0.0,0.79,2.2,3.04,0.0,0.0,1.0,9.0,15.0,0.0,0.0,3.893905548,8.96702,14.53413,0.0,0.0,6.0,6.0,2.0,0.0,0.0
CdSiO3,3,0.4925,2.3181,-6.742354736,3.89891258567487,6.989842359,0.654,-17.421595,-29.422649,-5.8845298,48.0,14.0,8.0,0.0,0.0,13.1,12.1,14.0,0.0,0.0,160.0,117.0,65.0,0.0,0.0,0.0,1.3895211,1.4611135,0.0,0.0,1.69,1.9,3.44,0.0,0.0,12.0,14.0,16.0,0.0,0.0,8.993822,8.151683,13.618054,0.0,0.0,5.0,3.0,2.0,0.0,0.0
CaTiO3,3,2.0007,3.4786,-8.424398778,3.83854627109805,3.973795928,1.97,-16.673451999999997,-38.364569,-7.672913800000001,20.0,22.0,8.0,0.0,0.0,29.9,10.6,14.0,0.0,0.0,170.0,140.0,65.0,0.0,0.0,0.02455,0.079,1.4611135,0.0,0.0,1.0,1.54,3.44,0.0,0.0,2.0,4.0,16.0,0.0,0.0,6.1131552,6.82812,13.618054,0.0,0.0,4.0,4.0,2.0,0.0,0.0
CaSiO3,3,4.2891,6.2151,-7.997728334,3.90568420290933,4.356421097,3.447,-22.025154999999998,-35.865924,-7.1731848,20.0,14.0,8.0,0.0,0.0,29.9,12.1,14.0,0.0,0.0,170.0,117.0,65.0,0.0,0.0,0.02455,1.3895211,1.4611135,0.0,0.0,1.0,1.9,3.44,0.0,0.0,2.0,14.0,16.0,0.0,0.0,6.1131552,8.151683,13.618054,0.0,0.0,4.0,3.0,2.0,0.0,0.0
CaHfO3,3,3.6712,5.3184,-8.791517498,4.14182516446812,6.703907401,3.6910000000000003,-7.060864,-40.25903,-8.051806000000001,20.0,72.0,8.0,0.0,0.0,29.9,13.6,14.0,0.0,0.0,170.0,0.0,65.0,0.0,0.0,0.02455,0.013999999999999999,1.4611135,0.0,0.0,1.0,1.3,3.44,0.0,0.0,2.0,4.0,16.0,0.0,0.0,6.1131552,6.82507,13.618054,0.0,0.0,4.0,6.0,2.0,0.0,0.0
CaGeO3,3,1.0898,2.8409,-7.123175834,4.29114195541326,5.193465776,0.043,-20.109007000000002,-31.718325999999994,-6.3436651999999984,20.0,32.0,8.0,0.0,0.0,29.9,13.6,14.0,0.0,0.0,170.0,0.0,65.0,0.0,0.0,0.02455,1.232712,1.4611135,0.0,0.0,1.0,2.01,3.44,0.0,0.0,2.0,14.0,16.0,0.0,0.0,6.1131552,7.899435,13.618054,0.0,0.0,4.0,4.0,2.0,0.0,0.0
LaBO3,3,4.0399,5.8861,-8.94616928,5.75922820853499,5.769372589,3.696,85.784379,-41.900999,-8.3801998,57.0,5.0,8.0,0.0,0.0,22.5,4.6,14.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.47,0.279723,1.4611135,0.0,0.0,1.1,2.04,3.44,0.0,0.0,3.0,13.0,16.0,0.0,0.0,5.5769,8.298019,13.618054,0.0,0.0,6.0,2.0,2.0,0.0,0.0
PbSiO3,3,1.6414,3.0182,-7.392531664,3.44578751717513,8.473360339,1.882,-11.235648,-32.978053,-6.5956106000000005,82.0,14.0,8.0,0.0,0.0,18.3,12.1,14.0,0.0,0.0,0.0,117.0,65.0,0.0,0.0,0.35674316,1.3895211,1.4611135,0.0,0.0,1.8,1.9,3.44,0.0,0.0,14.0,14.0,16.0,0.0,0.0,7.4166796,8.151683,13.618054,0.0,0.0,6.0,3.0,2.0,0.0,0.0
PbSnO3,3,1.5793,2.9129,-6.540654302,4.36575838933473,9.277751952,0.904,-11.14847,-28.900333,-5.7800666,82.0,50.0,8.0,0.0,0.0,18.3,16.3,14.0,0.0,0.0,0.0,140.0,65.0,0.0,0.0,0.35674316,1.112067,1.4611135,0.0,0.0,1.8,1.96,3.44,0.0,0.0,14.0,14.0,16.0,0.0,0.0,7.4166796,7.343917,13.618054,0.0,0.0,6.0,5.0,2.0,0.0,0.0
RbNbO3,3,2.1364,3.4645,-8.167802296,3.77802774913642,5.780116478,2.721,-14.548979000000001,-37.293267,-7.4586534,37.0,41.0,8.0,0.0,0.0,55.9,10.8,14.0,0.0,0.0,225.0,0.0,65.0,0.0,0.0,0.48591999999999996,0.917406,1.4611135,0.0,0.0,0.82,1.6,3.44,0.0,0.0,1.0,5.0,16.0,0.0,0.0,4.177128,6.75885,13.618054,0.0,0.0,5.0,5.0,2.0,0.0,0.0
ZrBeO3,3,2.5491,4.156,-8.566207162,4.25415154945705,5.370535114,2.469,-9.345872,-39.015695,-7.803139,40.0,4.0,8.0,0.0,0.0,14.1,5.0,14.0,0.0,0.0,0.0,114.99999999999999,65.0,0.0,0.0,0.426,-2.4,1.4611135,0.0,0.0,1.33,1.57,3.44,0.0,0.0,4.0,2.0,16.0,0.0,0.0,6.6339,9.322699,13.618054,0.0,0.0,5.0,2.0,2.0,0.0,0.0
Zr2ON2,3,1.467,2.6194,-9.85556373,3.8950295765501,4.400792215,1.8159999999999998,-28.438584000000002,-47.211072,-9.442214400000001,40.0,8.0,7.0,0.0,0.0,14.1,14.0,17.3,0.0,0.0,0.0,65.0,65.0,0.0,0.0,0.426,1.4611135,-1.4,0.0,0.0,1.33,3.44,3.04,0.0,0.0,4.0,16.0,15.0,0.0,0.0,6.6339,13.618054,14.53413,0.0,0.0,5.0,2.0,2.0,0.0,0.0
YGaO3,3,3.1688,4.7198,-7.729418168,3.68556896840047,5.693178705,2.801,-12.543674000000001,-34.824946999999995,-6.9649893999999986,39.0,31.0,8.0,0.0,0.0,19.8,11.8,14.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.307,0.43,1.4611135,0.0,0.0,1.22,1.81,3.44,0.0,0.0,3.0,13.0,16.0,0.0,0.0,6.21726,5.9993018,13.618054,0.0,0.0,5.0,4.0,2.0,0.0,0.0
TeBeO3,3,3.2074,4.7597,-6.568257152,3.92478070768279,5.097985224,3.478,-3.397393,-29.437535,-5.887507,52.0,4.0,8.0,0.0,0.0,20.5,5.0,14.0,0.0,0.0,133.0,114.99999999999999,65.0,0.0,0.0,1.9708759999999999,-2.4,1.4611135,0.0,0.0,2.1,1.57,3.44,0.0,0.0,16.0,2.0,16.0,0.0,0.0,9.00966,9.322699,13.618054,0.0,0.0,5.0,2.0,2.0,0.0,0.0
SrSnO3,3,1.74,3.3891,-6.91313504,3.4100359749745,6.469134934,0.977,-10.784593,-30.912132999999997,-6.182426599999999,38.0,50.0,8.0,0.0,0.0,33.7,16.3,14.0,0.0,0.0,195.0,140.0,65.0,0.0,0.0,0.048,1.112067,1.4611135,0.0,0.0,0.95,1.96,3.44,0.0,0.0,2.0,14.0,16.0,0.0,0.0,5.6948672,7.343917,13.618054,0.0,0.0,5.0,5.0,2.0,0.0,0.0
SrSiO3,3,3.2786,5.1396,-7.858719568,5.41241178210342,5.72138514,2.451,-15.416445000000001,-35.03112,-7.0062240000000005,38.0,14.0,8.0,0.0,0.0,33.7,12.1,14.0,0.0,0.0,195.0,117.0,65.0,0.0,0.0,0.048,1.3895211,1.4611135,0.0,0.0,0.95,1.9,3.44,0.0,0.0,2.0,14.0,16.0,0.0,0.0,5.6948672,8.151683,13.618054,0.0,0.0,5.0,3.0,2.0,0.0,0.0
SrGeO3,3,0.4383,2.1155,-7.094234682,4.2050886265362,6.398654687,0.087,-23.456789,-31.435521,-6.2871042,38.0,32.0,8.0,0.0,0.0,33.7,13.6,14.0,0.0,0.0,195.0,0.0,65.0,0.0,0.0,0.048,1.232712,1.4611135,0.0,0.0,0.95,2.01,3.44,0.0,0.0,2.0,14.0,16.0,0.0,0.0,5.6948672,7.899435,13.618054,0.0,0.0,5.0,4.0,2.0,0.0,0.0
BiYO3,3,2.9438,4.3001,-7.543622104,3.9021418935302,6.77652727,2.966,-20.676546,-34.47887899999999,-6.895775799999998,83.0,39.0,8.0,0.0,0.0,21.3,19.8,14.0,0.0,0.0,148.0,0.0,65.0,0.0,0.0,0.942362,0.307,1.4611135,0.0,0.0,1.9,1.22,3.44,0.0,0.0,15.0,3.0,16.0,0.0,0.0,7.285516,6.21726,13.618054,0.0,0.0,6.0,5.0,2.0,0.0,0.0
SnTiO3,3,0.4781,1.4845,-7.992716102,4.13828690172594,5.81410234,0.86,-9.872359,-36.165201,-7.2330402000000005,50.0,22.0,8.0,0.0,0.0,16.3,10.6,14.0,0.0,0.0,140.0,140.0,65.0,0.0,0.0,1.112067,0.079,1.4611135,0.0,0.0,1.96,1.54,3.44,0.0,0.0,14.0,4.0,16.0,0.0,0.0,7.343917,6.82812,13.618054,0.0,0.0,5.0,4.0,2.0,0.0,0.0
SiGeO3,3,,0.0118,-6.910290282,4.8741988934489,4.392340637,2.594,-8.548902,-33.6091,-6.721819999999999,14.0,32.0,8.0,0.0,0.0,12.1,13.6,14.0,0.0,0.0,117.0,0.0,65.0,0.0,0.0,1.3895211,1.232712,1.4611135,0.0,0.0,1.9,2.01,3.44,0.0,0.0,14.0,14.0,16.0,0.0,0.0,8.151683,7.899435,13.618054,0.0,0.0,3.0,4.0,2.0,0.0,0.0
SbYO3,3,3.4233,4.6879,-7.686315988,3.80906100353905,5.102295967,3.464,-13.347864999999999,-35.21433,-7.042865999999999,51.0,39.0,8.0,0.0,0.0,18.4,19.8,14.0,0.0,0.0,140.0,0.0,65.0,0.0,0.0,1.046,0.307,1.4611135,0.0,0.0,2.05,1.22,3.44,0.0,0.0,15.0,3.0,16.0,0.0,0.0,8.608389,6.21726,13.618054,0.0,0.0,5.0,5.0,2.0,0.0,0.0
SbInO3,3,2.9117,4.3901,-6.318696196,3.57041095607576,6.145929796,2.229,-9.33723,-28.106091000000003,-5.6212182,51.0,49.0,8.0,0.0,0.0,18.4,15.7,14.0,0.0,0.0,140.0,0.0,65.0,0.0,0.0,1.046,0.3,1.4611135,0.0,0.0,2.05,1.78,3.44,0.0,0.0,15.0,13.0,16.0,0.0,0.0,8.608389,5.7863552,13.618054,0.0,0.0,5.0,5.0,2.0,0.0,0.0
SbGaO3,3,3.0188,4.4953,-6.582634638,4.03065143375233,6.572804724,2.253,-0.270548,-29.040179000000002,-5.808035800000001,51.0,31.0,8.0,0.0,0.0,18.4,11.8,14.0,0.0,0.0,140.0,0.0,65.0,0.0,0.0,1.046,0.43,1.4611135,0.0,0.0,2.05,1.81,3.44,0.0,0.0,15.0,13.0,16.0,0.0,0.0,8.608389,5.9993018,13.618054,0.0,0.0,5.0,4.0,2.0,0.0,0.0
SbBO3,3,3.1939,4.377,-7.585568714,4.4090909041188,5.17835994,3.449,76.966737,-34.293555,-6.858711,51.0,5.0,8.0,0.0,0.0,18.4,4.6,14.0,0.0,0.0,140.0,0.0,65.0,0.0,0.0,1.046,0.279723,1.4611135,0.0,0.0,2.05,2.04,3.44,0.0,0.0,15.0,13.0,16.0,0.0,0.0,8.608389,8.298019,13.618054,0.0,0.0,5.0,2.0,2.0,0.0,0.0
SbAlO3,3,2.8579,3.9901,-7.29618377,3.91662653882407,6.023192765,3.0839999999999996,-13.314122,-32.651699,-6.5303398,51.0,13.0,8.0,0.0,0.0,18.4,10.0,14.0,0.0,0.0,140.0,135.0,65.0,0.0,0.0,1.046,0.43283,1.4611135,0.0,0.0,2.05,1.61,3.44,0.0,0.0,15.0,13.0,16.0,0.0,0.0,8.608389,5.9857684,13.618054,0.0,0.0,5.0,3.0,2.0,0.0,0.0
Sb2ON2,3,0.045,0.9801,-6.598385156,3.95092979483855,6.993206566,0.071,-11.958458,-29.18112,-5.836224,51.0,8.0,7.0,0.0,0.0,18.4,14.0,17.3,0.0,0.0,140.0,65.0,65.0,0.0,0.0,1.046,1.4611135,-1.4,0.0,0.0,2.05,3.44,3.04,0.0,0.0,15.0,16.0,15.0,0.0,0.0,8.608389,13.618054,14.53413,0.0,0.0,5.0,2.0,2.0,0.0,0.0
Sn2O2S,3,,0.0189,-5.961656518,4.65369950750801,5.970564474,0.019,-13.832435,-26.466837,-5.2933674,50.0,8.0,16.0,0.0,0.0,16.3,14.0,15.5,0.0,0.0,140.0,65.0,102.0,0.0,0.0,1.112067,1.4611135,2.07710403,0.0,0.0,1.96,3.44,2.58,0.0,0.0,14.0,16.0,16.0,0.0,0.0,7.343917,13.618054,10.36001,0.0,0.0,5.0,2.0,3.0,0.0,0.0
BiWN3,3,,0.1822,-8.70552278,3.2958721062336,10.70597087,0.073,-18.785633999999998,-39.147453999999996,-7.829490799999999,83.0,74.0,7.0,0.0,0.0,21.3,9.53,17.3,0.0,0.0,148.0,0.0,65.0,0.0,0.0,0.942362,0.81626,-1.4,0.0,0.0,1.9,1.7,3.04,0.0,0.0,15.0,6.0,15.0,0.0,0.0,7.285516,7.86403,14.53413,0.0,0.0,6.0,6.0,2.0,0.0,0.0
MgSiO3,3,2.2983,4.1329,-7.500260958,5.50894500597215,3.54125341,2.2680000000000002,-15.327869,-33.808068999999996,-6.761613799999999,12.0,14.0,8.0,0.0,0.0,14.0,12.1,14.0,0.0,0.0,142.0,117.0,65.0,0.0,0.0,0.0,1.3895211,1.4611135,0.0,0.0,1.31,1.9,3.44,0.0,0.0,2.0,14.0,16.0,0.0,0.0,7.646235,8.151683,13.618054,0.0,0.0,3.0,3.0,2.0,0.0,0.0
AsInO3,3,2.7852,4.5009,-6.387189774,3.29432902852664,5.183245869,2.135,-16.5821,-28.487160000000003,-5.697432000000001,33.0,49.0,8.0,0.0,0.0,13.1,15.7,14.0,0.0,0.0,126.0,0.0,65.0,0.0,0.0,0.804,0.3,1.4611135,0.0,0.0,2.18,1.78,3.44,0.0,0.0,15.0,13.0,16.0,0.0,0.0,9.789,5.7863552,13.618054,0.0,0.0,4.0,5.0,2.0,0.0,0.0
BaZrO3,3,3.1083,4.6546,-8.6737559,3.87018590842371,6.322577089,3.0039999999999996,-17.821402,-39.905365,-7.981073,56.0,40.0,8.0,0.0,0.0,39.0,14.1,14.0,0.0,0.0,210.0,0.0,65.0,0.0,0.0,0.14462,0.426,1.4611135,0.0,0.0,0.89,1.33,3.44,0.0,0.0,2.0,4.0,16.0,0.0,0.0,5.211664,6.6339,13.618054,0.0,0.0,6.0,5.0,2.0,0.0,0.0
BiBO3,3,2.7869,4.2691,-7.568196946,4.04551676430396,7.8855147,2.755,74.369925,-34.075342,-6.8150683999999995,83.0,5.0,8.0,0.0,0.0,21.3,4.6,14.0,0.0,0.0,148.0,0.0,65.0,0.0,0.0,0.942362,0.279723,1.4611135,0.0,0.0,1.9,2.04,3.44,0.0,0.0,15.0,13.0,16.0,0.0,0.0,7.285516,8.298019,13.618054,0.0,0.0,6.0,2.0,2.0,0.0,0.0
AsGaO3,3,2.951,4.8246,-6.624315746,3.85415235998791,5.319088956,2.201,2.805237,-29.323779000000002,-5.8647558,33.0,31.0,8.0,0.0,0.0,13.1,11.8,14.0,0.0,0.0,126.0,0.0,65.0,0.0,0.0,0.804,0.43,1.4611135,0.0,0.0,2.18,1.81,3.44,0.0,0.0,15.0,13.0,16.0,0.0,0.0,9.789,5.9993018,13.618054,0.0,0.0,4.0,4.0,2.0,0.0,0.0
BiAlO3,3,1.9555,3.0794,-7.263669556,3.96218964594708,8.477335178,2.491,-10.45876,-32.51219900000001,-6.502439800000002,83.0,13.0,8.0,0.0,0.0,21.3,10.0,14.0,0.0,0.0,148.0,135.0,65.0,0.0,0.0,0.942362,0.43283,1.4611135,0.0,0.0,1.9,1.61,3.44,0.0,0.0,15.0,13.0,16.0,0.0,0.0,7.285516,5.9857684,13.618054,0.0,0.0,6.0,3.0,2.0,0.0,0.0
BaTiO3,3,1.8007,3.1578,-8.42877744,3.88932803257577,6.244428399,2.279,-3.678378,-38.213446999999995,-7.642689399999999,56.0,22.0,8.0,0.0,0.0,39.0,10.6,14.0,0.0,0.0,210.0,140.0,65.0,0.0,0.0,0.14462,0.079,1.4611135,0.0,0.0,0.89,1.54,3.44,0.0,0.0,2.0,4.0,16.0,0.0,0.0,5.211664,6.82812,13.618054,0.0,0.0,6.0,4.0,2.0,0.0,0.0
AsYO3,3,4.0974,5.5064,-7.779887402,3.78880369047572,4.23752165,4.149,-5.567983,-35.691015,-7.138203,33.0,39.0,8.0,0.0,0.0,13.1,19.8,14.0,0.0,0.0,126.0,0.0,65.0,0.0,0.0,0.804,0.307,1.4611135,0.0,0.0,2.18,1.22,3.44,0.0,0.0,15.0,3.0,16.0,0.0,0.0,9.789,6.21726,13.618054,0.0,0.0,4.0,5.0,2.0,0.0,0.0
BeSiO3,3,2.2019,4.0191,-7.622240166,4.19551165726325,3.169552207,1.264,-11.897324000000001,-34.60417,-6.920834000000001,4.0,14.0,8.0,0.0,0.0,5.0,12.1,14.0,0.0,0.0,114.99999999999999,117.0,65.0,0.0,0.0,-2.4,1.3895211,1.4611135,0.0,0.0,1.57,1.9,3.44,0.0,0.0,2.0,14.0,16.0,0.0,0.0,9.322699,8.151683,13.618054,0.0,0.0,2.0,3.0,2.0,0.0,0.0
AsAlO3,3,3.6194,5.2981,-7.331719576,4.02647749151764,4.626034303,3.779,-10.417342,-32.916544,-6.5833088,33.0,13.0,8.0,0.0,0.0,13.1,10.0,14.0,0.0,0.0,126.0,135.0,65.0,0.0,0.0,0.804,0.43283,1.4611135,0.0,0.0,2.18,1.61,3.44,0.0,0.0,15.0,13.0,16.0,0.0,0.0,9.789,5.9857684,13.618054,0.0,0.0,4.0,3.0,2.0,0.0,0.0
BaSnO3,3,1.0789,2.674,-6.982532014,4.11258048025812,7.340827857,0.047,-21.522633,-31.159105,-6.231821,56.0,50.0,8.0,0.0,0.0,39.0,16.3,14.0,0.0,0.0,210.0,140.0,65.0,0.0,0.0,0.14462,1.112067,1.4611135,0.0,0.0,0.89,1.96,3.44,0.0,0.0,2.0,14.0,16.0,0.0,0.0,5.211664,7.343917,13.618054,0.0,0.0,6.0,5.0,2.0,0.0,0.0
BaTeO3,3,1.4119,2.1903,-6.414626564,3.61594608073916,6.480353237,1.535,-9.45677,-28.734838,-5.7469676,56.0,52.0,8.0,0.0,0.0,39.0,20.5,14.0,0.0,0.0,210.0,133.0,65.0,0.0,0.0,0.14462,1.9708759999999999,1.4611135,0.0,0.0,0.89,2.1,3.44,0.0,0.0,2.0,16.0,16.0,0.0,0.0,5.211664,9.00966,13.618054,0.0,0.0,6.0,5.0,2.0,0.0,0.0
BaSiO3,3,1.2489,3.0149,-7.69779584,3.98927789548032,5.872953648,0.85,-14.632155,-34.658291999999996,-6.931658399999999,56.0,14.0,8.0,0.0,0.0,39.0,12.1,14.0,0.0,0.0,210.0,117.0,65.0,0.0,0.0,0.14462,1.3895211,1.4611135,0.0,0.0,0.89,1.9,3.44,0.0,0.0,2.0,14.0,16.0,0.0,0.0,5.211664,8.151683,13.618054,0.0,0.0,6.0,3.0,2.0,0.0,0.0
